id,category,path,source_url,sha256,page_count,issuer,template_family,rights_note,scan,ambiguous,attachment,label_evidence,human_reviewer,human_review_status
c001,financial_report,,,,,,,,,,,,,pending
c002,financial_report,,,,,,,,,,,,,pending
c003,financial_report,,,,,,,,,,,,,pending
c004,financial_report,,,,,,,,,,,,,pending
c005,financial_report,,,,,,,,,,,,,pending
c006,financial_report,,,,,,,,,,,,,pending
c007,financial_report,,,,,,,,,,,,,pending
c008,financial_report,,,,,,,,,,,,,pending
c009,press_release,,,,,,,,,,,,,pending
c010,press_release,,,,,,,,,,,,,pending
c011,press_release,,,,,,,,,,,,,pending
c012,press_release,,,,,,,,,,,,,pending
c013,press_release,,,,,,,,,,,,,pending
c014,press_release,,,,,,,,,,,,,pending
c015,press_release,,,,,,,,,,,,,pending
c016,press_release,,,,,,,,,,,,,pending
c017,legal_notice,,,,,,,,,,,,,pending
c018,legal_notice,,,,,,,,,,,,,pending
c019,legal_notice,,,,,,,,,,,,,pending
c020,legal_notice,,,,,,,,,,,,,pending
c021,legal_notice,,,,,,,,,,,,,pending
c022,legal_notice,,,,,,,,,,,,,pending
c023,legal_notice,,,,,,,,,,,,,pending
c024,legal_notice,,,,,,,,,,,,,pending
c025,correspondence,,,,,,,,,,,,,pending
c026,correspondence,,,,,,,,,,,,,pending
c027,correspondence,,,,,,,,,,,,,pending
c028,correspondence,,,,,,,,,,,,,pending
c029,correspondence,,,,,,,,,,,,,pending
c030,correspondence,,,,,,,,,,,,,pending
c031,correspondence,,,,,,,,,,,,,pending
c032,correspondence,,,,,,,,,,,,,pending
c033,other,,,,,,,,,,,,,pending
c034,other,,,,,,,,,,,,,pending
c035,other,,,,,,,,,,,,,pending
c036,other,,,,,,,,,,,,,pending
c037,other,,,,,,,,,,,,,pending
c038,other,,,,,,,,,,,,,pending
c039,other,,,,,,,,,,,,,pending
c040,other,,,,,,,,,,,,,pending
